Material_Material_Number_Key,Material_Text,Material_Material_Group_Key,Material_Material_Group_Text,SCHC_1_Key,SCHC_1_Text,Storage_Location_Key_Not_Compounded,Storage_Location,Storage_Type_Key,Storage_Bin_Key,Storage_Bin_Type_Key_Not_Compounded,Stock_material_Blocked_Stock_Key,Stock_material_In_Quality_Insp_Key,Stock_material_Unrestr_use_Stock_Key,Total_Stock,Material_CFSS_UOI_Key,Material_CFSS_UOI_Text,Technical_Auth_Code_Key,Technical_Auth_Code_TA_Environment_Text,SMC_Key,SMC_Desc_Purch_Group_Key,CC_Physical_Inventor_Key_Not_Compounded,GR_Date_Key,Last_Inventory_Date_Key,Last_Movement_Date_Key,Material_CFSS_UOI_Price_Key,Material_Lead_IMA_Key,Material_Stock_Type_Supply_Key,Material_Lead_IMA_Text,Material_Stock_Classification_Key,Material_Stock_Classification_Text,Material_DMC_Key,Material_DMC_Text,Material_Repair_Code_Key,Material_Repair_Code_Text,Material_Plant_View_Serial_No_Profile_Key,Material_Serial_No_Profile_Key,Material_Serial_No_Profile_Text,Test_Case,Status
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,foobar,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,0,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,-10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD NS,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD HAZMAT RR,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Rep Res,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1B,D,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Rep Res,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,CONSUMABLE STORES,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD NS,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,CONSUMABLE STORES,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Rep Res,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"1,000.00 CAD",,,,,ACCOUNTABLE STORES,,,,NON-REPAIRABLE,,,,,
00-0224602:NSN,,,,A,,,25CFSD NS,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"1,000.00 CAD",,,,,ACCOUNTABLE STORES,,,,NON-REPAIRABLE,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1B,G,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1B,P,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,999,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,998,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,Z,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",foobar,D,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",foobar,G,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",foobar,P,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1B,G,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Disposal,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",foobar,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Disposal,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1B,foobar,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD Rep Res,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,D,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1J,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",1W,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",2E,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",2F,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",3A,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",3B,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",3G,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",4B,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",4L,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",4T,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0.100 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0.000 EA,0.100 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD NS,,,,0.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD HAZMAT RR,,,,0.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-1203096:NSN,,,,A,,,25CFSD SERV,,,,0.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
foobar,,,,A,,,25CFSD SERV,,,,0.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,0.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA085G12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA085B1,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA085B,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA08512,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA0851,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023AA085,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A085B1,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A085B,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A08512,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A0851,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,023A085,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,PAS,023AA085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,DIS,023AA085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,GDM,023AA085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,QA1,023AA085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,QUA,023AA085B12,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,CHH,SEA011,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,SEA011,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RTC,CU1234567,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RTC,CU01234567,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RTC,CU00000001234567,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,CU1234567,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RTC,LVLE111,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,RANDOM,LVLE111,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,HPT,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,PAS,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,PHA,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,QA1,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,QUA,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,902,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,916,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,917,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,920,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,922,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,923,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,960,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,999,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0127060:NSN,,,,A,,,25CFSD SERV,OTHER,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
